satellite_name,norad_id,satellite_id,operation_id,operation_name,scopes,current_status,catalog_status,evidence_at,status_source,modulation,protocols,uplink_availability,uplink_low_hz,uplink_high_hz,downlink_low_hz,downlink_high_hz,downlink_band,occupied_bandwidth_hz,necessary_bandwidth_hz,passband_width_hz,symbol_rate_baud,data_rate_bps,review_required,source_url,source_updated_at,superseded_by
UWE-3,39446,AAXX-7141-8998-4196-8344,satnogs:D7iEeEbjNj49tusqHgpL4g,9k6 FSK TLM,telemetry,unknown,active,,,FSK,,unknown,,,437385000.0,437385000.0,UHF,,,,9600.0,,True,https://db.satnogs.org/api/transmitters/?format=json,2026-05-09T10:06:30.388778Z,
UWE-3,39446,AAXX-7141-8998-4196-8344,satnogs:gBpooS3AUqyvkhCpRQvvW5,PE0SAT - 9k6 FSK TLM,telemetry,unknown,active,,,FSK,,unknown,,,437384000.0,437384000.0,UHF,,,,9600.0,,True,https://db.satnogs.org/api/transmitters/?format=json,2019-04-18T05:39:53.343316Z,
UWE-3,39446,AAXX-7141-8998-4196-8344,satnogs:MeaPQ3CNsoHtXVZADFMvbc,Transmitter,data_downlink,unknown,active,,,FSK,,unknown,,,436395000.0,436395000.0,UHF,,,,9600.0,,False,https://db.satnogs.org/api/transmitters/?format=json,2020-10-24T13:38:53.211295Z,
UWE-4,43880,WDIT-2736-3800-1720-7555,satnogs:YyRGE6ftmWay2yxNBJwmbX,FSK9k6 AX.25 TLM - 16K0F2D,telemetry,unknown,inactive,,,FSK,AX.25,unknown,,,437385000.0,437385000.0,UHF,,,,9600.0,,True,https://db.satnogs.org/api/transmitters/?format=json,2019-04-18T05:39:53.343316Z,
UWE-4,43880,WDIT-2736-3800-1720-7555,satnogs:84i7RcGzy3QTCzM9GaRYmP,Mode U - FSK 9600 AX.25,data_downlink,unknown,active,,,FSK,AX.25,unknown,,,435600000.0,435600000.0,UHF,,,,9600.0,,False,https://db.satnogs.org/api/transmitters/?format=json,2021-06-21T09:00:37.467599Z,
UiTMSAT-2,98398,GTCB-7495-2132-2852-9491,satnogs:8hqroy53fJR54texyA4CJ7,CW,beacon,unknown,active,,,CW,,unknown,,,437375000.0,437375000.0,UHF,,,,20.0,,False,https://db.satnogs.org/api/transmitters/?format=json,2026-01-31T11:26:03.602922Z,
UiTMSAT-2,98398,GTCB-7495-2132-2852-9491,satnogs:kbJtZ84JVqrtNZjLi5aqTy,Mode U - GMSK4k8 - TLM,telemetry,unknown,active,,,GMSK,,unknown,,,437375000.0,437375000.0,UHF,,,,4800.0,,False,https://db.satnogs.org/api/transmitters/?format=json,2026-01-31T11:53:54.812513Z,
UiTMSAT-2,98398,GTCB-7495-2132-2852-9491,satnogs:7FrJubDMmSegKM3Z34Sjqz,Mode V/V - AFSK1k2 - Digipeater,data_downlink,unknown,active,,,AFSK,,unknown,,,145825000.0,145825000.0,VHF,,,,1200.0,,False,https://db.satnogs.org/api/transmitters/?format=json,2026-01-31T11:25:58.429223Z,
UmKA-1,57172,SDUV-9624-5611-1090-5908,satnogs:RfdEeNcGQkBFYyZ2KR8Rmr,Mode S - BPSK 2Mbps TLM,telemetry,unknown,active,,,BPSK,,unknown,,,2402400000.0,2402400000.0,UHF,,,,,,False,https://db.satnogs.org/api/transmitters/?format=json,2023-10-13T13:09:43.560083Z,
UmKA-1,57172,SDUV-9624-5611-1090-5908,satnogs:jGntWXMNbeVhZfuHGKXUAj,Mode U - CW,beacon,unknown,active,,,CW,,unknown,,,437625000.0,437625000.0,UHF,,,,,,False,https://db.satnogs.org/api/transmitters/?format=json,2025-11-20T14:43:23.411971Z,
UmKA-1,57172,SDUV-9624-5611-1090-5908,satnogs:jjdyd5tKmnXtMsygbTcBbC,Mode U - GMSK 2k4 (G3RUH) TLM,telemetry,unknown,inactive,,,FSK,,unknown,,,437625000.0,437625000.0,UHF,,,,2400.0,,False,https://db.satnogs.org/api/transmitters/?format=json,2023-07-18T16:05:51.466999Z,
UmKA-1,57172,SDUV-9624-5611-1090-5908,satnogs:apSwp972VrfnsJf6BGQGA8,Mode U - GMSK 2k4 (USP) TLM,telemetry,unknown,inactive,,,GMSK,,unknown,,,437625000.0,437625000.0,UHF,,,,2400.0,,False,https://db.satnogs.org/api/transmitters/?format=json,2023-07-31T09:42:09.527340Z,
UmKA-1,57172,SDUV-9624-5611-1090-5908,satnogs:VzCjUxM38mb74VbXTZsRKB,Mode U - GMSK 4k8 (G3RUH) TLM,telemetry,unknown,inactive,,,FSK,,unknown,,,435825000.0,435825000.0,UHF,,,,4800.0,,True,https://db.satnogs.org/api/transmitters/?format=json,2023-06-27T20:21:15.977855Z,
UmKA-1,57172,SDUV-9624-5611-1090-5908,satnogs:ZjS93aNT7JJrqcN6CCRyoP,Mode U - GMSK 4k8 (USP) TLM,telemetry,unknown,active,,,GMSK,,unknown,,,437625000.0,437625000.0,UHF,,,,4800.0,,False,https://db.satnogs.org/api/transmitters/?format=json,2024-08-10T23:48:07.930674Z,
UmKA-1,57172,SDUV-9624-5611-1090-5908,satnogs:eRAUq7Whot3A5nN3kNvwTr,Mode U - GMSK 9k6 (USP) TLM,telemetry,unknown,active,,,GMSK,,unknown,,,437625000.0,437625000.0,UHF,,,,9600.0,,True,https://db.satnogs.org/api/transmitters/?format=json,2023-07-31T09:42:09.530293Z,
UmKA-1,57172,SDUV-9624-5611-1090-5908,satnogs:AjYqcyjoAjJrmfsYtH7oux,Mode U - SSTV,image_downlink,unknown,active,2026-09-24T20:16:00+00:00,https://www.amsat.org/status/,,SSTV,unknown,,,437625000.0,437625000.0,UHF,,,,,,False,https://db.satnogs.org/api/transmitters/?format=json,2024-03-07T09:11:41.367947Z,
VEERY-0E “Ectobius”,98913,VYYS-2109-0134-2275-9604,satnogs:W2BzDJehYPueaQDyKtnYWP,Mode U - 9k6 FSK,data_downlink,unknown,active,,,FSK,,unknown,,,437125000.0,437125000.0,UHF,,,,9600.0,,False,https://db.satnogs.org/api/transmitters/?format=json,2024-03-09T00:38:41.828899Z,
VEGAFLY-1,98519,LPUU-9270-2724-3685-4470,satnogs:2y3i9kEcJtSro7XcWG3bhv,Mode U - CW Morse Beacon,beacon,unknown,inactive,,,CW,,unknown,,,436655000.0,436655000.0,UHF,,,,20.0,,False,https://db.satnogs.org/api/transmitters/?format=json,2026-04-03T07:35:01.461119Z,
VEGAFLY-1,98519,LPUU-9270-2724-3685-4470,satnogs:YGPzx2MvyyRnnVCjC9zRkm,Mode U - GFSK1k DATA,data_downlink,unknown,inactive,,,GFSK,,unknown,,,436655000.0,436655000.0,UHF,,,,1000.0,,False,https://db.satnogs.org/api/transmitters/?format=json,2026-04-03T07:36:55.121269Z,
VEGAFLY-1,98519,LPUU-9270-2724-3685-4470,satnogs:o6yKCyhM8EdqaoJqg4spbJ,Mode U - GFSK500 TLM,telemetry,unknown,active,,,GFSK,,unknown,,,436655000.0,436655000.0,UHF,,,,500.0,,False,https://db.satnogs.org/api/transmitters/?format=json,2026-03-30T02:15:25.018695Z,
VELOX 1,40057,MBWN-8482-2114-9688-9106,satnogs:nP9SjSXhoLLLi4Xso84aER,CW Beacon,beacon,unknown,active,,,CW,,unknown,,,145980000.0,145980000.0,VHF,,,,,,True,https://db.satnogs.org/api/transmitters/?format=json,2019-04-18T05:39:53.343316Z,
VELOX-AM,57482,BVGM-7941-1194-7387-5450,satnogs:ayuAjFrh4e284tTBLG7j27,Mode U - FSK4k8,data_downlink,unknown,active,,,FSK,,unknown,,,437125000.0,437125000.0,UHF,,,,4800.0,,True,https://db.satnogs.org/api/transmitters/?format=json,2023-07-30T17:24:43.785089Z,
VELOX-PII,39438,FVZE-6295-2194-3210-6337,satnogs:qi4FX8EQ2UsiwwEyhbuYT7,Mode 1200bps BPSK CW,beacon,unknown,active,,,CW,,unknown,,,145980000.0,145980000.0,VHF,,,,,,True,https://db.satnogs.org/api/transmitters/?format=json,2019-04-18T05:39:53.343316Z,
VIZARD-meteo,57189,OYGZ-5054-3166-8092-6448,satnogs:arw4iGWiTZDF8yQ64UBZgE,Mode U - GMSK 2k4 (USP FEC) TLM,telemetry,unknown,active,,,GMSK,,unknown,,,437825000.0,437825000.0,UHF,,,,2400.0,,True,https://db.satnogs.org/api/transmitters/?format=json,2023-07-12T21:55:21.225548Z,
VIZARD-meteo,57189,OYGZ-5054-3166-8092-6448,satnogs:kreKfmt4vs4n22TyJZ4Mft,SSTV - Robot 72,image_downlink,unknown,active,2026-09-23T22:00:00+00:00,https://www.amsat.org/status/,,SSTV,unknown,,,437825000.0,437825000.0,UHF,,,,,,True,https://db.satnogs.org/api/transmitters/?format=json,2024-10-28T09:28:41.057229Z,
Vigoride-5,55056,PDVW-9191-3063-9872-9368,satnogs:XZimiPaNXnAtuqvxpVq2gK,UHF Beacon,beacon,unknown,active,,,FM,,unknown,,,400500000.0,400500000.0,UHF,,,,,,True,https://db.satnogs.org/api/transmitters/?format=json,2023-01-14T02:12:05.651709Z,
Vizard-ion,61749,SQGD-2208-0540-4983-6683,satnogs:X8UGAHRKn2UcnugW3y786G,Mode U - CW Beacon,beacon,unknown,inactive,,,CW,,unknown,,,436870000.0,436870000.0,UHF,,,,,,False,https://db.satnogs.org/api/transmitters/?format=json,2024-10-31T11:36:56.832840Z,
Vizard-ion,61749,SQGD-2208-0540-4983-6683,satnogs:AFd2b9xhFiK36hijkC2dku,Mode U - GFSK9k6 - AX.25 Beacon and Telemetry (Geoscan framing),beacon; telemetry,unknown,active,,,GFSK,AX.25,unknown,,,436870000.0,436870000.0,UHF,,,,9600.0,,False,https://db.satnogs.org/api/transmitters/?format=json,2024-10-31T11:36:52.765809Z,
Vizard-ion,61749,SQGD-2208-0540-4983-6683,satnogs:RNwPFv5ab7mmKK5mW2XTJV,Mode X - DVB-S2,digital_television,unknown,active,,,,DVB-S2,unknown,,,10475000000.0,10475000000.0,SHF,,,,1000000.0,,False,https://db.satnogs.org/api/transmitters/?format=json,2024-10-31T11:37:00.817827Z,
WASEDA-SAT-ZERO-II,98327,HFCT-6543-1597-0098-9086,satnogs:mQFj3NSnbc2gFVKFARME3o,Mode U - CW,beacon,unknown,active,,,CW,,unknown,,,437200000.0,437200000.0,UHF,,,,8.0,,False,https://db.satnogs.org/api/transmitters/?format=json,2026-04-22T19:18:09.429622Z,
WASEDA-SAT-ZERO-II,98327,HFCT-6543-1597-0098-9086,satnogs:BK2ThZF2CcPvX3dVUfTLpj,Mode U - TLM,telemetry,unknown,active,,,FSK,,unknown,,,437200000.0,437200000.0,UHF,,,,1200.0,,False,https://db.satnogs.org/api/transmitters/?format=json,2026-04-22T19:18:09.421563Z,
WREN,39435,XRJJ-0463-2781-5484-1167,satnogs:JGYJ76ZbPFUjqaxe44SC7F,Mode U SSTV,image_downlink,unknown,active,,,FM,SSTV,unknown,,,437405000.0,437405000.0,UHF,,,,,,False,https://db.satnogs.org/api/transmitters/?format=json,2022-11-02T20:13:09.845458Z,
XIWANG-1,36122,JJGC-7637-4682-0934-3692,satnogs:T7QXLn5PryWVdjqDUfGa55,CW Beacon,beacon,unknown,active,,,CW,,unknown,,,435791000.0,435791000.0,UHF,,,,15.0,,True,https://db.satnogs.org/api/transmitters/?format=json,2019-04-18T05:39:53.343316Z,
XIWANG-1,36122,JJGC-7637-4682-0934-3692,satnogs:xVq7syPGptNE56YpFTAgGh,Mode V/U BBS AFSK,two_way_data,unknown,inactive,,,AFSK,,documented_uplink_access_unknown,145825000.0,,435675000.0,,UHF,,,,1200.0,,True,https://db.satnogs.org/api/transmitters/?format=json,2020-02-17T20:41:45.634289Z,
XIWANG-1,36122,JJGC-7637-4682-0934-3692,satnogs:AEzrojCTbvAeZRDtPmqitc,Mode V/U FM,two_way_voice,unknown,active,,,FM,,documented_uplink_access_unknown,145825000.0,,435675000.0,,UHF,,,,,,True,https://db.satnogs.org/api/transmitters/?format=json,2019-04-18T05:39:53.343316Z,
XIWANG-1,36122,JJGC-7637-4682-0934-3692,satnogs:DMfzzRQEHk98K7diJ3wo27,Mode V/U Linear,two_way_voice,unknown,inactive,,,FMN,,documented_uplink_access_unknown,145925000.0,145975000.0,435715000.0,435765000.0,UHF,,,50000.0,,,True,https://db.satnogs.org/api/transmitters/?format=json,2019-04-18T05:39:53.343316Z,
XW-3,50466,WMPC-3806-8308-1122-5138,satnogs:SqMaeqweB8LkyaBcExhxQT,Mode U - GMSK4k8 AX.25 Telemetry,telemetry,unknown,active,,,GMSK,AX.25,unknown,,,435725000.0,435725000.0,UHF,,,,4800.0,,False,https://db.satnogs.org/api/transmitters/?format=json,2021-12-26T05:37:00.827842Z,
XW-3,50466,WMPC-3806-8308-1122-5138,satnogs:d2wKU3qETr3tLdxCGVJ8cb,Mode U - Telemetry,beacon; telemetry,unknown,active,,,CW,,unknown,,,435575000.0,435575000.0,UHF,,,,22.0,,False,https://db.satnogs.org/api/transmitters/?format=json,2021-12-24T14:28:57.111999Z,
XW-3,50466,WMPC-3806-8308-1122-5138,satnogs:JB4Bsj4MUAgjgNojDLB8qe,Mode U Audio,downlink_audio,unknown,active,,,BPSK,,unknown,,,435180000.0,435180000.0,UHF,,,,19200.0,,False,https://db.satnogs.org/api/transmitters/?format=json,2022-12-05T22:04:11.743748Z,
XW-3,50466,WMPC-3806-8308-1122-5138,satnogs:cApMyLxo44XFkf6MhUCNxC,Mode V/U - Transponder,two_way_voice,unknown,inactive,,,USB,,documented_uplink_access_unknown,145855000.0,145885000.0,435165000.0,435195000.0,UHF,,,30000.0,,,False,https://db.satnogs.org/api/transmitters/?format=json,2026-03-16T08:13:23.519047Z,
YOUTHSAT,37388,WQYT-3877-9353-7434-8931,satnogs:iDe9MKxFTLDF6PuzeoSuii,UHF Unknown,beacon,unknown,active,,,CW,,unknown,,,400000000.0,400000000.0,UHF,,,,,,True,https://db.satnogs.org/api/transmitters/?format=json,2022-10-21T08:08:34.588843Z,
YUBELEINY 2,38735,NJCP-8947-9988-6527-2389,satnogs:Vrkbw9ARBqeSpgVGpbMc4C,Mode U - CW,beacon,unknown,active,,,CW,,unknown,,,435365000.0,435365000.0,UHF,,,,,,True,https://db.satnogs.org/api/transmitters/?format=json,2025-07-31T07:39:41.896433Z,
YUBELEINY 2,38735,NJCP-8947-9988-6527-2389,satnogs:dpr97FVSfb9YAheeT5gUwG,Mode U - CW,beacon,unknown,active,,,CW,,unknown,,,435265000.0,435265000.0,UHF,,,,,,True,https://db.satnogs.org/api/transmitters/?format=json,2025-07-31T07:39:41.923355Z,
YUBELEINY 2,38735,NJCP-8947-9988-6527-2389,satnogs:GMngVCTTsJTm4e97tKWUEP,Mode U - DOKA B,data_downlink,unknown,active,,,,,unknown,,,435365000.0,435365000.0,UHF,,,,,,True,https://db.satnogs.org/api/transmitters/?format=json,2025-07-31T07:39:41.888466Z,
YUBELEINY 2,38735,NJCP-8947-9988-6527-2389,satnogs:cghkBrp6ug9jYLiXqBfbph,Mode U - DOKA B,data_downlink,unknown,active,,,,,unknown,,,435265000.0,435265000.0,UHF,,,,,,True,https://db.satnogs.org/api/transmitters/?format=json,2025-07-31T07:39:41.915495Z,
YUBILEINY,32953,QDOI-2741-3962-6115-0959,satnogs:TaNwRs2MhWH3s99LDrRt3m,435.353,downlink_audio,unknown,active,,,FM,,unknown,,,435353000.0,435353000.0,UHF,,,,,,True,https://db.satnogs.org/api/transmitters/?format=json,2022-08-01T17:57:20.589470Z,
YUBILEINY,32953,QDOI-2741-3962-6115-0959,satnogs:4vRcttnce4Z3nhfsQQt8kM,PE0SAT - CW Beacon,beacon,unknown,active,,,CW,,unknown,,,435315700.0,435315700.0,UHF,,,,,,True,https://db.satnogs.org/api/transmitters/?format=json,2019-04-18T05:39:53.343316Z,
YUBILEINY,32953,QDOI-2741-3962-6115-0959,satnogs:h7S7VNjodegJM2AYahtvAN,Telemetry Beacon 1 Beacon,beacon; telemetry,unknown,active,,,PSK,,unknown,,,435215000.0,435215000.0,UHF,,,,2500.0,,True,https://db.satnogs.org/api/transmitters/?format=json,2022-08-01T17:57:11.195344Z,
YUBILEINY,32953,QDOI-2741-3962-6115-0959,satnogs:gFtFgRMUqbmLbR94Jjb2KK,Telemetry Beacon 2 Beacon,beacon; telemetry,unknown,active,,,,,unknown,,,435315000.0,435315000.0,UHF,,,,2500.0,,True,https://db.satnogs.org/api/transmitters/?format=json,2022-08-01T17:57:16.314585Z,
Yarilo No. 4,57200,ZWQX-0507-9428-9365-8363,satnogs:BupyQqhgH2iaM4TQKeyd8A,Mode U - Beacon,beacon,unknown,active,,,FM,,unknown,,,435720000.0,435720000.0,UHF,,,,,,True,https://db.satnogs.org/api/transmitters/?format=json,2023-07-10T09:11:02.136241Z,
Yarilo No. 4,57200,ZWQX-0507-9428-9365-8363,satnogs:bj4KYK6mL8NhHran4rQQT3,Mode U - FSK9k6,data_downlink,unknown,active,,,FSK,,unknown,,,435400000.0,435400000.0,UHF,,,,9600.0,,True,https://db.satnogs.org/api/transmitters/?format=json,2023-07-10T09:10:21.719001Z,
Z-Sat,49399,KMUR-8898-9913-2178-8848,satnogs:ZPUzSHuGzUzwC2ZRKKfjLi,Mode U/V (1k2/9k6) - BBS,two_way_data,unknown,inactive,,,FSK,AX.25,documented_uplink_access_unknown,435480000.0,,145875000.0,,VHF,,,,9600.0,,False,https://db.satnogs.org/api/transmitters/?format=json,2026-06-26T07:31:41.403381Z,
Z-Sat,49399,KMUR-8898-9913-2178-8848,satnogs:PSXKMkfdBXmue7GbeYYHrS,Mode V - 9K6 GMSK,data_downlink,unknown,active,,,FSK,AX.25,unknown,,,145875000.0,145875000.0,VHF,,,,9600.0,,False,https://db.satnogs.org/api/transmitters/?format=json,2025-06-30T22:20:54.642369Z,
Z-Sat,49399,KMUR-8898-9913-2178-8848,satnogs:GNQrSU3cFmoNhhcCGwZMQr,Mode V - CW Beacon,beacon,unknown,inactive,,,CW,,unknown,,,145875000.0,145875000.0,VHF,,,,,,False,https://db.satnogs.org/api/transmitters/?format=json,2025-06-25T08:21:02.604624Z,
ZACUBE-1,39417,GRVM-9505-5712-0753-7014,satnogs:mPUxuDujiHWrmLYvUvxLPu,14.099 MHz CW Beacon,beacon,unknown,active,,,CW,,unknown,,,14099000.0,14099000.0,HF,,,,22.0,,False,https://db.satnogs.org/api/transmitters/?format=json,2022-07-08T02:05:15.395443Z,
ZACUBE-1,39417,GRVM-9505-5712-0753-7014,satnogs:feUjHrNeVPFjigkjaisKsg,FSK1k2 TLM,telemetry,unknown,active,,,FSK,,unknown,,,437356000.0,437356000.0,UHF,,,,1200.0,,True,https://db.satnogs.org/api/transmitters/?format=json,2020-11-09T15:42:41.229070Z,
